contact_method_id,contact_type_method_id,is_preferred_flag,contact_hours,method_end_date,extraction_timestamp,date,history_date
9158144296513275624,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144331013276783,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144368313277516,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144379313277527,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144440113278865,9134256590013157295,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144470613278904,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144484413279290,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144496813279672,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144538413280642,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144545213280933,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144648513284397,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144690813285608,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144709913286394,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158179772913299654,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
