customer_ref,account_num,subs_id,otc_seq,otc_dtm,bill_dtm,actual_bill_dtm,bill_version,bpi_id,productoffering_id,productoffering_name,tariff_plan_id,tariff_plan_name,customer_category_id,customer_category_value,otc_status_id,otc_status_value,otc_mny,cps_id,cps_name,created_dtm,geneva_user_ora,realtime_charge_boo,revenue_code_id,revenue_code_value,receivable_class_id,receivable_class_name,otc_class_id,otc_class_value,domain_id,otc_label,service_address_seq,product_seq,budget_centre_seq,bill_seq,rev_recognition_class_id,otc_txt,cancelled_txt,originating_bill_seq,originating_bill_version,otc_installment_seq,installment_number,termination_dtm,product_quantity,previous_otc_mny,revenue_start_dat,revenue_end_dat,upre_seq,domain_group_id,actual_mny,otc_tax_mny,disc_id_applied_on_otc_create,precalc_disc_amount_on_otc,discounted_otc_on_creation_boo,alt_currency_code,alt_currency_otc_mny,rtpc_otc_lines_tax_mny,currency_conversion_ref_dat,otc_value,prepaid_installment_boo,extraction_timestamp,date,history_date
1000163957,2000163956,NULL,101,2020-11-24 14:14:37,2020-12-01 00:00:00,2020-12-01 14:14:55,1,9158904184213935671,7610000000,VF Red - M,7610000000,VF Red - M,9145846203913115265,Consumer,1,Created.,100000,10003,Oman,2020-11-24 14:14:37,ECAUSER,F,200000039,200000039,10001,Default,1,One-time Charge.,853647607,NULL,1,2,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Premium Phone Number Postpaid,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000164004,2000164004,NULL,8,2020-11-23 11:16:18,2020-12-01 00:00:00,2020-12-01 11:18:06,1,9158904535713961536,7610000000,VF Red - M,7610000000,VF Red - M,9145846203913115265,Consumer,1,Created.,0,10003,Oman,2020-11-23 11:16:18,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,871324315,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000164019,2000164019,NULL,107,2020-11-04 11:21:32,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-04 11:21:32,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,416647861,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery with Upfront,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164022,2000164022,NULL,108,2020-11-04 11:22:11,NULL,NULL,1,9158905367913988084,6610000001,VF Red - S Subscription,6610000001,VF Red - S Subscription,9145846203913115265,Consumer,1,Created.,0,10003,Oman,2020-11-04 11:22:11,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,656157296,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery with Upfront,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164028,2000164028,NULL,15,2020-11-23 13:51:29,NULL,NULL,1,9158905469513994641,7610000000,VF Red - M,7610000000,VF Red - M,9145846203913115265,Consumer,1,Created.,0,10003,Oman,2020-11-23 13:51:29,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,439830224,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000164091,2000164106,NULL,302,2020-11-04 22:10:41,2020-12-01 00:00:00,2020-12-01 22:20:25,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-04 22:10:41,ECAUSER,F,200000033,200000033,10001,Default,1,One-time Charge.,887904974,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164715,2000164388,NULL,904,2020-11-11 10:21:11,2020-12-01 00:00:00,2020-12-01 13:31:04,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,100000,10003,Oman,2020-11-11 10:21:11,ECAUSER,F,200000039,200000039,10001,Default,1,One-time Charge.,805856667,NULL,1,2,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Premium Phone Number Postpaid,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164726,2000164403,NULL,906,2020-11-11 15:19:31,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-11 15:19:31,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,183781721,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164772,2000164447,NULL,910,2020-11-11 16:10:37,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-11 16:10:37,ECAUSER,F,200000033,200000033,10001,Default,1,One-time Charge.,433936914,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164868,2000164548,NULL,915,2020-11-11 18:09:42,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-11 18:09:42,ECAUSER,F,200000033,200000033,10001,Default,1,One-time Charge.,801581727,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
