revenue_feed_id,attribute_number,source_class_id,source_id,exclude_from_feed_boo,revenue_feed_src_attr_id,extraction_timestamp,date,history_date
-4,6,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,28,NULL,F,108,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,34,NULL,F,348,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,8,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,9,1,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,10,28,NULL,F,106,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,12,9,NULL,F,55,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,1,26,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,4,26,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,5,34,NULL,F,4,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,2,29,NULL,F,324,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,3,1,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,7,5,NULL,F,259,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,3,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,2,2,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,3,3,NULL,F,459,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,3,35,NULL,F,459,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,4,1,NULL,F,6,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,4,35,NULL,F,413,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
