contact_method_id,contact_type_method_id,is_preferred_flag,email_type_id,email_type_value,mobile_type_id,mobile_type_value,contact_days,contact_hours,phone_type_id,phone_type_value,social_profile_type_id,social_profile_type_value,method_end_date,extraction_timestamp,date,history_date
9158602855613908984,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602857713908765,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602859113908865,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602865813909491,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602875013909726,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602875313909726,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602880513910581,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602880813910237,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602887613910124,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602888413910460,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602895513910941,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602898013911070,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602899713910609,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602900913911101,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602930113912199,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602934813911551,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602941413912542,9147359779513855381,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602943113912542,9134256590013157288,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602943913912326,9134256590013157288,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602944813912548,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602945613912659,9134256590013157288,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602945813912548,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602945913912326,9147359779513855381,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602946613912659,9147359779513855381,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602948113912863,9134256590013157288,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158603455013913469,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158603630213913700,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
